Nombre del producto,Empresa,Ingredientes ,Fórmula,Uso ,Dosis ,Tiempo de retiro ,Número de certificado o registro,Clasificación ,Fecha de registro,Fecha de vigencia
Aquapremiere 3205,"VIMIFOS, S.A. de C.V.","Granos de cereales, subproductos de cereales, pasta de oleaginosas, harina de pollo y//o harina de pluka y/o harina de sangre porcina y/o harina de carne y hueso porcino y/o harina de pescado, proteina de soya, aceite de pescado y/o aceite de soya, propionato de calcio, carbonato de calcio, fosfato monoodicalcico, lisina, treonina, metionina, betaina, Vit. A, Vit. Complejo B, Ácido fólico, Vic. C, Vit. D3, Vit. E, Vit. K, Selenio, Cobalto, Cobre, hierro, Manganesio, Yodo, Zinc, Secuestrante de micotoxias, Extraco de levadura (Pichia guillermondi)","Proteína cruda mín………………32.00% 
Grasa cruda mÍn.…….……………5.00%          
Fibra cruda máx………………......6.00%        
Humedad máx…………………..12.00%         
Cenizas máx……………………..11.00%   
ENL………………….……….....34.00%",Alimento Balanceado para Tilapia y Bagre en etapa de engorda,Ofreces a Libre acceso ,No aplica,A-041/2012-004,Alimento,03-abr-18,03-abr-23
México Starter Premix 4415,"Agribrands Purina México, S. de R.L. de C.V. ","Cereales molidos, proteina vegetal (soya y gluten de maí), proteina animal (harina de pollo y/o harina de plumas y/o harina de carne de cerdo y /o harina de sangre de ave) Proteinas de animales de origen marina (proteina de pescado), Vit. E, Acido Ascorbico, metionina, lisina, sulfato de zinc, fosfato dicalcico, cloruro de sodio, etoxiquin, y/o BHA (como preservante) aceite de pescado.",Proteína min….44.00%            Cenizas max……9.00%           humedad max…10.00%                   fibra max…………3.00%                    grasa min………..15.00%               ELN………………….19.00%                   ,"Alimento balanceado para la alimentación de peces, tilapia trucha y bagre de agua fría y calidas en su etapa de alevinaje.",Trucha: 9 porciones de 0.2 a 1.2 g/peces/día (4415 1.5 mm producto) 7 porciones de 1.2 a 1.8 g/peces/día (4415 2.4 mm de producto)//tilapia y bagre: 9 porciones de 0.3 a 1.2 g/peces/dia (4415 1.5 mm de producto),No aplica,A-037/2013-003,Alimento,30-oct-18,30-oct-23
Mini pellet extruido steel-head (45-16) semiflotante,"Alimentos de Alta Calidad El pedregal, S.A. de C.V.","Harina de pescado, trigo y sus subproductos, harina de pollo, pastas oleaginosas, harinas de sangre de pollo y/o res, aceite de pescado estabilizado, lecitina de soya, L-Lisina, DL-Metionina, treonina, vitaminas (A, D3, B12, E, C estabilizada), riboflavina, niacina, menadiona, ácido fólico, ácido pantoténico, piridoxina, tiamina, biotina, cloruro de colina, etoxiquina (antioxidante), ácido propiónico (fungicida).","Proteína cruda mín………………45.00% 
Grasa cruda mÍn.…….……………16.00%          
Fibra cruda máx………………......2.50%        
Humedad máx…………………..12.00%         
Cenizas máx……………………..12.00%   
","Alimento para Tilapia  (Oreochromis niloticus, O. aureus), Trucha (Oncorhunchus mykiss), bagre (Ictalurus punctatus) y carpa (Cyprinus carpio) en fase de crecimiento.",ofrecer a libre acceso ,No aplica,A-121/2018-001,Alimento,02-may-18,02-may-23
AQUAXCEL PECES STARTER 4512,"Agribrands Purina México, S. de R.L. de C.V. ","Cereales molidios, proteínas vegetales (oleaginosas), proteínas animales de orgen marino (harina de pescado y/o harian de calamar), proteínas animales (harina de pollo y/o harina de plumas y/o harina de cerdo y/o harina de sangre), vitamiona E, cloruro de colina, ácido ascórbico, antioxidantes, DL-Metionina, lisina, treonina, carbonato de calcio, fosfato dicálcico, fosfato monocálcico, lecitina, subproductos secos de levaduras fermentadas, probóticos (Bacillus subtillis y  Bacillus licheniformis), sulfato de zinc, sulfato de manganeso, sulfato de cobre, etilendiamine dihidróxido, sulfato terroso, sulfato de cobalto, cloruro de potasio, sleenito de sodio, hidróxido butilado de tolueno (prservante), aceite de pescado.","Humedad max: …………….11%           Proteína mín: ……………….45%     Grasa min: ………………….12% Fibra máx:………………….. 3% Cenizas max: ……………….10%   Fósforo min: ……………...1.10% Calcio min: 1.5%, max: 2%                    E.L.N………………………. 19%","Alimento para peces marinos. Atun, pompano, lubina, cobia, barramundi","Tamaño de partícula 0.6mm tamaño delpez 0.7-1g 10-13% de biiomasa 8 veces por díadurante 12  días, Tamaño de partícula 0.8mm tamaño del pez 0.25-4g 10-7% de biomasa 8 veces por día durante 14 días, Tamaño de partícula 1.5mm tamaño del pez 2.55-14g 4-8% de biomasa 6 veces por día durante 15 días, Tamaño de partícula 2.2mm tamaño del pez 14-55g 3-7% de biomasa 6 veces por día durante 20 días. ",No aplica ,A-037/2013-009,Alimento ,29-oct-19,29-oct-24
AQUAPREMIERE 4510,"Vimifos, S.A. de C.V.","Granos de cereales, pasta de oleaginosas, concentrado vegetal, proteína de origen marino (harina de calamar, harina de pescado, harina de krill), proteína de origen animal (harina de sangre porcina-bovina y/o harina de pollo-pluma) aceite de pescado, vitamina A, vitaminas del complejo B, ácido fólico, biotina, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato monodicálcico, cobalto, cobre manganeso, selenio, yodo, zinc, lecitina de soya, mananooligosacáridos y betaglucanos, propinato de calcio, pigmento.",PROTEÍNA CRUDA 45.00 % MÍN GRASA CRUDA 10.00 % MIN                        FIBRA CRUDA 5.00 % MÁX                   CENIZAS 10.00 % MÁX                        HUMEDAD 12.00 % MÁX,Alimento para Tilapia Oreochromis spp. en etapa de iniciación ,libre acceso ,No aplica,A-035/2014-004,Alimento ,24-nov-14,24-nov-19
Levadura seca activa PROBIOCEL 20,"Grupo La Florida México, S.A. de C.V.  ",Levadura seca activa (Saccharomyces cerevisiae).,Levadura seca activa (Saccharomyces cerevisiae)..2.0 x 1010 UFC/g. Proteína………35.00% mín.  Humedad………7.00% mín.,Aditivo para adicionar en el alimento.  Tilapia y trucha,Para Tilapia (Oreochromis spp.) 1.5 Kg. por tonelada de alimento y Trucha arcoíris (Oncorhynchus mykiss) 3.5 Kg. por tonelada de alimento.,No aplica,DGSA-DSAP-CSAUA-014-(3)/2014,Aditivo ,03-dic-14,03-dic-19
AQUAFORM ,"Nutryplus, S.A.P.I. de C.V. ",diformiato de potasio,Diformiato de Potasio        (min)….. 95.5%  (max)]…..98.5%,"Para la elaboración de alimentos balanceados de Tilapia (Oreochromis spp), salmónidos (Oncorhynchus spp) y Camarón (Litopenaeus vannamei).","La tasa de inclusión es de 2-5 Kg por tonelada e pienso dependiendo de la contaminación bacteriana y condiciones de la granja, no superando el  0.5% de la dieta total.",No aplica ,DGSA-DSAP-CSAUA-010-(3)/2016,Aditivo ,06-jul-16,06-jul-21
AquaNu3 Tilapia 4008 Iniciador 2.5 mm,"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne de res y/o pollo, granos y subproductos, pastas de oleaginosas, antioxidantes (BHT y BHA), derivados de una levadura prima inactivada (Saccharomyces cerevisiae)  0.30 Kg/ton, aceite de pescado, Minerales: Calcio, Fósforo, Hierro, Zinc, Yodo, Selenio, Cobalto y Magnesio. Vitaminas: A, D, E, B1, B2, B5, B6, B12, ácido pantoténico, ácido Fólico y biotina. ",Proteína cruda ………40.00 % mín Grasa cruda …...……..8.00 % min            Fibra cruda ...…………8.00 % máx Cenizas……………... 10.00 % máx Humedad ...………….10.00 % máx       E.L.N…………………24.00%,Alimento Extruido para tilapias (Oreocromis sp) en etapa de iniciador ,"50 gr de alimento por tilapia al día, se sugiere alimentar 4 veces al día.",No aplica,A-120/2014-001,Alimento ,19-nov-14,19-nov-19
AquaNu3 Tilapia 3505 Crecimiento 3.5 mm,"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne de res y/o pollo, granos y subproductos, pastas de oleaginosas, antioxidantes (BHT y BHA), derivados de una levadura prima inactivada (Saccharomyces cerevisiae)  0.30 Kg/ton, aceite de pescado, Minerales: Calcio, Fósforo, Hierro, Zinc, Yodo, Selenio, Cobalto y Magnesio. Vitaminas: A, D, E, B1, B2, B5, B6, B12, ácido pantoténico, ácido Fólico y biotina. ",Proteína cruda ………35.00 % mín Grasa cruda …...……..5.00 % min            Fibra cruda ...…………8.00 % máx Cenizas……………... 10.00 % máx Humedad ...………….10.00 % máx       E.L.N…………………32.00%,Alimento Extruido para tilapias (Oreocromis sp) en etapa de crecimiento,"50 gr de alimento por tilapia al día, se sugiere alimentar 4 veces al día.",No aplica,A-120/2014-002,Alimento ,19-nov-14,19-nov-19
AquaNu3 Tilapia 3205 Desarrollo 3.5 mm,"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne de res y/o pollo, granos y subproductos, pastas de oleaginosas, antioxidantes (BHT y BHA), derivados de una levadura prima inactivada (Saccharomyces cerevisiae)  0.30 Kg/ton, aceite de pescado, Minerales: Calcio, Fósforo, Hierro, Zinc, Yodo, Selenio, Cobalto y Magnesio. Vitaminas: A, D, E, B1, B2, B5, B6, B12, ácido pantoténico, ácido Fólico y biotina. ",Proteína cruda ………32.00 % mín Grasa cruda …...……..5.00 % min            Fibra cruda ...…………8.00 % máx Cenizas……………... 10.00 % máx Humedad ...………….10.00 % máx       E.L.N…………………35.00%,Alimento Extruido para tilapias (Oreocromis sp) en etapa de desarrollo ,"50 gr de alimento por tilapia al día, se sugiere alimentar 4 veces al día.",No aplica,A-120/2014-003,Alimento ,19-nov-14,19-nov-19
AquaNu3 Tilapia 3005 Engorda 3.5 mm,"Multiservicios 2001, S.A. de C.V.","Harina de pescado, harina de carne de res y/o pollo, granos y subproductos, pastas de oleaginosas, antioxidantes (BHT y BHA), derivados de una levadura prima inactivada (Saccharomyces cerevisiae)  0.30 Kg/ton, aceite de pescado, Minerales: Calcio, Fósforo, Hierro, Zinc, Yodo, Selenio, Cobalto y Magnesio. Vitaminas: A, D, E, B1, B2, B5, B6, B12, ácido pantoténico, ácido Fólico y biotina. ",Proteína cruda ………30.00 % mín Grasa cruda …...……..5.00 % min            Fibra cruda ...…………8.00 % máx Cenizas……………... 10.00 % máx Humedad ...………….10.00 % máx       E.L.N…………………37.00%,Alimento Extruido para tilapias (Oreocromis sp) en etapa de engorda,"50 gr de alimento por tilapia al día, se sugiere alimentar 3 veces al día.",No aplica,A-120/2014-004,Alimento ,19-nov-14,19-nov-19
